language,Content type New site,URL Category OLD site,New site taxonomy: Jewish Agency Vocabulary (Main Category),article type,News type,NewsTags,P2GSchoolCurriculumLessonPlanEnrichment/Lesson Plan,P2GedTypeOfResource,P2GedBaskets,P2GedTag,P2GSchoolAudiences,P2GSchoolLengthOfActivity,P2GSchoolContent,P2GedJewishMonths,years,number of pages,URL Category OLD site
English,Article,/Compelling Content/Eye+on+Israel/StruggleDefense,Peace & Conflict,educational materials,,,,,,,,,,,,5,Compelling Content/Eye+on+Israel/StruggleDefense
English,Article,/Compelling Content/Eye+on+Israel/women+in+israel,Women in Israel,educational materials,,,,,,,,,,,,5,Compelling Content/Eye+on+Israel/women+in+israel
English,Article,/Compelling Content/Eye+on+Israel/Sport+in+Israel,Sports,educational materials,,,,,,,,,,,,12,Compelling Content/Eye+on+Israel/Sport+in+Israel
English,Article,/Compelling+Content/Jewish+Time/Jewish+Sources/Iyunum,Nechama Leibowitz,educational materials,,,,,,,,,,,,52,Compelling+Content/Jewish+Time/Jewish+Sources/Iyunum
English,Article,/Compelling+Content/Jewish+Time/Jewish+Sources/Insights,Rabbi Mordechai Shpigelman,educational materials,,,,,,,,,,,,92,Compelling+Content/Jewish+Time/Jewish+Sources/Insights
English,Article,/Nechama/shemot,Nechama Leibowitz,educational materials,,,,,,,,,,,,2,Nechama/shemot
English,Article,/Compelling+Content/Jewish+Time/Jewish+Sources/child,Life Cycle,educational materials,,,,,,,,,,,,10,Compelling+Content/Jewish+Time/Jewish+Sources/child
English,Article,/Festivals+and+Memorial+Days,Holidays and Memorial Days,educational materials,,,,,,,,,,,,1,Festivals+and+Memorial+Days
English,Article,/Festivals+and+Memorial+Days/Rosh+Hashanah,Rosh Hashanah,educational materials,,,,,,,,,,,,7,Festivals+and+Memorial+Days/Rosh+Hashanah
English,Article,/Festivals+and+Memorial+Days/Yom+Kippur,Yom Kippur,educational materials,,,,,,,,,,,,13,Festivals+and+Memorial+Days/Yom+Kippur
English,Article,/Festivals+and+Memorial+Days/Sukkot,Sukkot,educational materials,,,,,,,,,,,,14,Festivals+and+Memorial+Days/Sukkot
English,Article,/Festivals+and+Memorial+Days/Simhat+Torah,Shemini Atzeret & Simchat Torah,educational materials,,,,,,,,,,,,2,Festivals+and+Memorial+Days/Simhat+Torah
English,Article,/Festivals+and+Memorial+Days/Chanukah,Hanukkah,educational materials,,,,,,,,,,,,16,Festivals+and+Memorial+Days/Chanukah
English,Article,/Festivals+and+Memorial+Days/Tu+Bishvat,Tu b'Shvat,educational materials,,,,,,,,,,,,30,Festivals+and+Memorial+Days/Tu+Bishvat
English,Article,/Festivals+and+Memorial+Days/Purim,Purim,educational materials,,,,,,,,,,,,39,Festivals+and+Memorial+Days/Purim
English,Article,/Festivals+and+Memorial+Days/Pesach,Pesach,educational materials,,,,,,,,,,,,5,Festivals+and+Memorial+Days/Pesach
English,Article,/Festivals+and+Memorial+Days/Pesach/Sources+and+Themes,Pesach,educational materials,,,,,,,,,,,,4,Festivals+and+Memorial+Days/Pesach/Sources+and+Themes
English,Article,/Festivals+and+Memorial+Days/Pesach/Goals+and+Messages,Goals and Messages,educational materials,,,,,,,,,,,,10,Festivals+and+Memorial+Days/Pesach/Goals+and+Messages
English,Article,/Festivals+and+Memorial+Days/Pesach/Web+Perspectives,Web Perspective,educational materials,,,,,,,,,,,,9,Festivals+and+Memorial+Days/Pesach/Web+Perspectives
English,Article,/Festivals+and+Memorial+Days/Pesach/Educator+and+Family+Perspectives,Educator and Family Perspectives,educational materials,,,,,,,,,,,,2,Festivals+and+Memorial+Days/Pesach/Educator+and+Family+Perspectives
